,small,medium,large
AT,0.202,0.386,0.092
BE,0.207,0.366,0.070
BG,0.234,0.204,0.037
CH,0.172,0.336,0.149
CZ,0.269,0.331,0.058
DE,0.236,0.339,0.102
DK,0.196,0.281,0.084
EE,0.098,0.399,0.195
EL,0.149,0.419,0.043
ES,0.168,0.395,0.062
FI,0.177,0.460,0.150
FR,0.183,0.386,0.045
HR,0.199,0.260,0.038
HU,0.222,0.194,0.035
IE,0.223,0.322,0.035
IT,0.189,0.531,0.054
LT,0.074,0.378,0.172
LU,0.295,0.422,0.127
LV,0.052,0.267,0.121
NL,0.199,0.352,0.068
NO,0.118,0.404,0.136
PL,0.304,0.390,0.060
PT,0.278,0.282,0.063
RO,0.201,0.176,0.032
SE,0.237,0.260,0.102
SI,0.245,0.372,0.049
SK,0.213,0.262,0.046
UK,0.217,0.319,0.083
