,Mobility Profile
2016-01-01 00:00:00+00:00,96763.49062889496
2016-01-01 01:00:00+00:00,79441.66753100509
2016-01-01 02:00:00+00:00,80253.19803735497
2016-01-01 03:00:00+00:00,88688.74873079055
2016-01-01 04:00:00+00:00,106250.68792451722
2016-01-01 05:00:00+00:00,125295.48667419278
2016-01-01 06:00:00+00:00,302445.5974661725
2016-01-01 07:00:00+00:00,356170.295910937
2016-01-01 08:00:00+00:00,539827.6437333595
2016-01-01 09:00:00+00:00,732792.8016322256
2016-01-01 10:00:00+00:00,832105.8023969665
2016-01-01 11:00:00+00:00,897806.6629519794
2016-01-01 12:00:00+00:00,844956.6631847706
2016-01-01 13:00:00+00:00,728156.9656477366
2016-01-01 14:00:00+00:00,894015.971659292
2016-01-01 15:00:00+00:00,755997.3930526486
2016-01-01 16:00:00+00:00,903631.0091786579
2016-01-01 17:00:00+00:00,848336.7948551303
2016-01-01 18:00:00+00:00,628753.430715172
2016-01-01 19:00:00+00:00,435590.99149128294
2016-01-01 20:00:00+00:00,303390.8889631096
2016-01-01 21:00:00+00:00,323788.87569384783
2016-01-01 22:00:00+00:00,178916.87777993127
2016-01-01 23:00:00+00:00,41159.467405366086
2016-01-02 00:00:00+00:00,62411.34423820779
2016-01-02 01:00:00+00:00,74607.83281314227
2016-01-02 02:00:00+00:00,73455.86858903708
2016-01-02 03:00:00+00:00,83065.86748843562
2016-01-02 04:00:00+00:00,81792.6201679971
2016-01-02 05:00:00+00:00,203589.43618162783
2016-01-02 06:00:00+00:00,249653.93785619075
2016-01-02 07:00:00+00:00,419973.5070759613
2016-01-02 08:00:00+00:00,700974.2879798854
2016-01-02 09:00:00+00:00,873749.3076112159
2016-01-02 10:00:00+00:00,933480.363285453
2016-01-02 11:00:00+00:00,970875.7603224539
2016-01-02 12:00:00+00:00,923482.5801113151
2016-01-02 13:00:00+00:00,950953.6840233676
2016-01-02 14:00:00+00:00,1070925.8497843985
2016-01-02 15:00:00+00:00,947170.0736626763
2016-01-02 16:00:00+00:00,989336.4158840735
2016-01-02 17:00:00+00:00,935950.3370622285
2016-01-02 18:00:00+00:00,635092.0721573384
2016-01-02 19:00:00+00:00,436327.49045773904
2016-01-02 20:00:00+00:00,301049.28288611147
2016-01-02 21:00:00+00:00,311105.6895784803
2016-01-02 22:00:00+00:00,195028.10903274402
2016-01-02 23:00:00+00:00,46945.73088131806
2016-01-03 00:00:00+00:00,70072.2010298401
2016-01-03 01:00:00+00:00,94623.24347984775
2016-01-03 02:00:00+00:00,102512.60972201248
2016-01-03 03:00:00+00:00,72355.42581613969
2016-01-03 04:00:00+00:00,96447.3128604477
2016-01-03 05:00:00+00:00,195756.8737391025
2016-01-03 06:00:00+00:00,339724.52912911953
2016-01-03 07:00:00+00:00,382047.48480947764
2016-01-03 08:00:00+00:00,669468.2501357523
2016-01-03 09:00:00+00:00,777131.6250105354
2016-01-03 10:00:00+00:00,1014816.5496506884
2016-01-03 11:00:00+00:00,919362.1552629353
2016-01-03 12:00:00+00:00,895304.8202151469
2016-01-03 13:00:00+00:00,972057.4990205226
2016-01-03 14:00:00+00:00,908751.8272186879
2016-01-03 15:00:00+00:00,865530.6163310553
2016-01-03 16:00:00+00:00,983938.6711208945
2016-01-03 17:00:00+00:00,726744.257571262
2016-01-03 18:00:00+00:00,651497.6693310961
2016-01-03 19:00:00+00:00,355347.19299447525
2016-01-03 20:00:00+00:00,246214.1799580922
2016-01-03 21:00:00+00:00,309400.35026500776
2016-01-03 22:00:00+00:00,223427.3585228248
2016-01-03 23:00:00+00:00,63600.55676364443
2016-01-04 00:00:00+00:00,154763.55285935523
2016-01-04 01:00:00+00:00,174629.17770220077
2016-01-04 02:00:00+00:00,146095.68034611252
2016-01-04 03:00:00+00:00,99037.34785293687
2016-01-04 04:00:00+00:00,378804.630903473
2016-01-04 05:00:00+00:00,996401.576503796
2016-01-04 06:00:00+00:00,1091937.029805002
2016-01-04 07:00:00+00:00,1062547.8491763624
2016-01-04 08:00:00+00:00,666765.8275081896
2016-01-04 09:00:00+00:00,582543.146277808
2016-01-04 10:00:00+00:00,688258.2852389539
2016-01-04 11:00:00+00:00,654417.5433654081
2016-01-04 12:00:00+00:00,610324.6156761771
2016-01-04 13:00:00+00:00,849419.2688668867
2016-01-04 14:00:00+00:00,1300299.7091636793
2016-01-04 15:00:00+00:00,1387713.503098305
2016-01-04 16:00:00+00:00,1404083.938485083
2016-01-04 17:00:00+00:00,842390.0930696278
2016-01-04 18:00:00+00:00,381367.33821928257
2016-01-04 19:00:00+00:00,300870.17204931163
2016-01-04 20:00:00+00:00,268356.8234080016
2016-01-04 21:00:00+00:00,206674.23068557793
2016-01-04 22:00:00+00:00,164660.03706885985
2016-01-04 23:00:00+00:00,79476.88766672139
2016-01-05 00:00:00+00:00,110921.55956115165
2016-01-05 01:00:00+00:00,139242.99906155837
2016-01-05 02:00:00+00:00,127263.53087590548
2016-01-05 03:00:00+00:00,103172.69429154048
2016-01-05 04:00:00+00:00,448245.40360604075
2016-01-05 05:00:00+00:00,903421.2414617618
2016-01-05 06:00:00+00:00,1121736.8870495877
2016-01-05 07:00:00+00:00,1085914.403655137
2016-01-05 08:00:00+00:00,765909.9304077064
