,Mobility Profile
2016-01-01 00:00:00+00:00,87812.60393073114
2016-01-01 00:01:00+00:00,87740.3542368529
2016-01-01 00:02:00+00:00,87740.36336845289
2016-01-01 00:03:00+00:00,88838.3002853396
2016-01-01 00:04:00+00:00,91583.08544828859
2016-01-01 00:05:00+00:00,79761.81637209252
2016-01-01 00:06:00+00:00,60710.73699057396
2016-01-01 00:07:00+00:00,65379.660222250495
2016-01-01 00:08:00+00:00,74998.87456729235
2016-01-01 00:09:00+00:00,74998.88027454235
2016-01-01 00:10:00+00:00,94152.37850348659
2016-01-01 00:11:00+00:00,108355.46252581444
2016-01-01 00:12:00+00:00,121006.60871306874
2016-01-01 00:13:00+00:00,76665.83279661833
2016-01-01 00:14:00+00:00,92621.70899761877
2016-01-01 00:15:00+00:00,92621.71356341874
2016-01-01 00:16:00+00:00,95138.67341241054
2016-01-01 00:17:00+00:00,64771.105520438825
2016-01-01 00:18:00+00:00,76980.33324445922
2016-01-01 00:19:00+00:00,88346.23498178928
2016-01-01 00:20:00+00:00,79582.14669660755
2016-01-01 00:21:00+00:00,79582.15012095755
2016-01-01 00:22:00+00:00,66931.01192385315
2016-01-01 00:23:00+00:00,68035.84794749736
2016-01-01 00:24:00+00:00,61394.200814106574
2016-01-01 00:25:00+00:00,42718.435410795995
2016-01-01 00:26:00+00:00,52526.81999796138
2016-01-01 00:27:00+00:00,40317.59683974073
2016-01-01 00:28:00+00:00,64736.064355096
2016-01-01 00:29:00+00:00,73526.93364866287
2016-01-01 00:30:00+00:00,94196.17887860176
2016-01-01 00:31:00+00:00,105793.74682472435
2016-01-01 00:32:00+00:00,84114.55348755443
2016-01-01 00:33:00+00:00,117243.03467847231
2016-01-01 00:34:00+00:00,139518.14699173687
2016-01-01 00:35:00+00:00,146218.89867191127
2016-01-01 00:36:00+00:00,144894.36111089904
2016-01-01 00:37:00+00:00,145992.9155431509
2016-01-01 00:38:00+00:00,134799.92777740752
2016-01-01 00:39:00+00:00,125942.00740087927
2016-01-01 00:40:00+00:00,112318.89725823578
2016-01-01 00:41:00+00:00,102882.140476252
2016-01-01 00:42:00+00:00,108633.8866111289
2016-01-01 00:43:00+00:00,104177.4276760772
2016-01-01 00:44:00+00:00,94420.82808210133
2016-01-01 00:45:00+00:00,127789.70298263794
2016-01-01 00:46:00+00:00,114214.50411857887
2016-01-01 00:47:00+00:00,130387.96503890955
2016-01-01 00:48:00+00:00,65613.4417281417
2016-01-01 00:49:00+00:00,106234.32009427392
2016-01-01 00:50:00+00:00,116112.6151356397
2016-01-01 00:51:00+00:00,135246.68829610723
2016-01-01 00:52:00+00:00,127400.90690146187
2016-01-01 00:53:00+00:00,136234.42599213612
2016-01-01 00:54:00+00:00,124858.63371070201
2016-01-01 00:55:00+00:00,116634.18469022356
2016-01-01 00:56:00+00:00,97743.79367843946
2016-01-01 00:57:00+00:00,105738.70965603975
2016-01-01 00:58:00+00:00,103646.79167567796
2016-01-01 00:59:00+00:00,97229.86685477612
2016-01-01 01:00:00+00:00,95349.8270521316
2016-01-01 01:01:00+00:00,83136.46342355857
2016-01-01 01:02:00+00:00,82280.98475139694
2016-01-01 01:03:00+00:00,86842.44796280055
2016-01-01 01:04:00+00:00,86842.44796280055
2016-01-01 01:05:00+00:00,78975.57205361311
2016-01-01 01:06:00+00:00,63130.94834019886
2016-01-01 01:07:00+00:00,30425.312052616147
2016-01-01 01:08:00+00:00,43896.93279610828
2016-01-01 01:09:00+00:00,44752.13431470833
2016-01-01 01:10:00+00:00,34729.54284719682
2016-01-01 01:11:00+00:00,34729.54284719682
2016-01-01 01:12:00+00:00,53856.2708466667
2016-01-01 01:13:00+00:00,53856.2708466667
2016-01-01 01:14:00+00:00,53856.2708466667
2016-01-01 01:15:00+00:00,53856.2708466667
2016-01-01 01:16:00+00:00,40384.65010317456
2016-01-01 01:17:00+00:00,31481.891832208417
2016-01-01 01:18:00+00:00,10949.016685724258
2016-01-01 01:19:00+00:00,35749.06626646538
2016-01-01 01:20:00+00:00,31579.953150432015
2016-01-01 01:21:00+00:00,31579.953150432015
2016-01-01 01:22:00+00:00,31579.953150432015
2016-01-01 01:23:00+00:00,40355.04789938437
2016-01-01 01:24:00+00:00,62675.04328931635
2016-01-01 01:25:00+00:00,65444.71815155059
2016-01-01 01:26:00+00:00,59335.87348215594
2016-01-01 01:27:00+00:00,68187.69286742715
2016-01-01 01:28:00+00:00,76592.94913265447
2016-01-01 01:29:00+00:00,110578.3979176799
2016-01-01 01:30:00+00:00,110578.3979176799
2016-01-01 01:31:00+00:00,133788.07782929798
2016-01-01 01:32:00+00:00,130211.93658420065
2016-01-01 01:33:00+00:00,134372.79917899737
2016-01-01 01:34:00+00:00,115969.49387683801
2016-01-01 01:35:00+00:00,132018.01859147273
2016-01-01 01:36:00+00:00,158297.1414179345
2016-01-01 01:37:00+00:00,149891.88515270714
2016-01-01 01:38:00+00:00,125565.32717412352
2016-01-01 01:39:00+00:00,122481.29777685889
2016-01-01 01:40:00+00:00,87801.10867855942
2016-01-01 01:41:00+00:00,59328.050150683215
2016-01-01 01:42:00+00:00,68648.78204143509
2016-01-01 01:43:00+00:00,67502.67993001416
2016-01-01 01:44:00+00:00,76059.24204345858
2016-01-01 01:45:00+00:00,76059.24204345858
2016-01-01 01:46:00+00:00,104236.48153527193
2016-01-01 01:47:00+00:00,108486.80491480873
2016-01-01 01:48:00+00:00,120681.38184052301
2016-01-01 01:49:00+00:00,130193.98547484618
2016-01-01 01:50:00+00:00,119522.13789950169
2016-01-01 01:51:00+00:00,93953.54378396602
2016-01-01 01:52:00+00:00,103877.53527878562
2016-01-01 01:53:00+00:00,87339.40375982328
2016-01-01 01:54:00+00:00,98355.19007653414
2016-01-01 01:55:00+00:00,100412.90817899455
2016-01-01 01:56:00+00:00,65027.543928370505
2016-01-01 01:57:00+00:00,76361.51929754035
2016-01-01 01:58:00+00:00,66243.34431679477
2016-01-01 01:59:00+00:00,66243.34431679477
2016-01-01 02:00:00+00:00,69908.56199879611
2016-01-01 02:01:00+00:00,60255.84407494383
2016-01-01 02:02:00+00:00,70214.93922571262
2016-01-01 02:03:00+00:00,55797.21911511779
2016-01-01 02:04:00+00:00,67417.61521144617
2016-01-01 02:05:00+00:00,65303.30865865576
2016-01-01 02:06:00+00:00,83643.95951281169
2016-01-01 02:07:00+00:00,79185.58042554576
2016-01-01 02:08:00+00:00,79185.58042554576
2016-01-01 02:09:00+00:00,98119.98199193174
2016-01-01 02:10:00+00:00,77168.3082213951
2016-01-01 02:11:00+00:00,92795.26727506108
2016-01-01 02:12:00+00:00,81174.87117873269
2016-01-01 02:13:00+00:00,88208.53723171307
2016-01-01 02:14:00+00:00,88699.84069048984
2016-01-01 02:15:00+00:00,97976.73806656798
2016-01-01 02:16:00+00:00,103927.91667530953
2016-01-01 02:17:00+00:00,120476.5383880451
2016-01-01 02:18:00+00:00,96850.1169119526
2016-01-01 02:19:00+00:00,68493.79781578077
2016-01-01 02:20:00+00:00,104258.6668689679
2016-01-01 02:21:00+00:00,104258.6668689679
2016-01-01 02:22:00+00:00,83525.23201236893
2016-01-01 02:23:00+00:00,73261.82818209894
2016-01-01 02:24:00+00:00,70773.93942141098
2016-01-01 02:25:00+00:00,52673.203316869265
2016-01-01 02:26:00+00:00,65563.66464315058
2016-01-01 02:27:00+00:00,75181.6516765123
2016-01-01 02:28:00+00:00,59353.500162024204
2016-01-01 02:29:00+00:00,46817.008450778165
2016-01-01 02:30:00+00:00,56757.77800996305
2016-01-01 02:31:00+00:00,67841.77967692334
2016-01-01 02:32:00+00:00,78031.16364993759
